account_id,customer_id,credit_limit_usd,fico_score,apr_percent,risk_band
15283,15283,11437,695,18.45,Medium
15284,15284,15117,657,17.74,High
15285,15285,13264,635,20.14,High
15286,15286,59887,791,12.82,Low
15287,15287,15068,598,21.39,High
15288,15288,62814,790,11.73,Low
15289,15289,3865,607,19.1,High
15290,15290,3790,613,19.93,High
15291,15291,4571,680,17.63,Medium
15292,15292,16695,717,14.76,Medium
15293,15293,26733,698,18.54,Medium
15294,15294,1418,505,22.59,VeryHigh
15295,15295,11226,658,18.81,High
15296,15296,5970,609,19.78,High
15297,15297,3903,625,22.39,High
15298,15298,3872,438,30.19,VeryHigh
15299,15299,15748,606,22.03,High
15300,15300,21021,702,16.56,Medium
15301,15301,25738,539,22.4,VeryHigh
15302,15302,2339,631,21.34,High
15303,15303,19834,675,18.58,Medium
15304,15304,59699,710,17.35,Medium
15305,15305,9071,581,21.24,High
15306,15306,2813,624,19.93,High
15307,15307,14073,643,18.08,High
15308,15308,6913,678,21.02,Medium
15309,15309,4832,590,21.21,High
15310,15310,4757,608,22.95,High
15311,15311,3210,530,26.05,VeryHigh
15312,15312,32670,735,15.87,Medium
15313,15313,45531,747,17.09,Low
15314,15314,22459,616,19.92,High
15315,15315,14129,680,19.14,Medium
15316,15316,7927,631,17.16,High
15317,15317,30950,702,16.91,Medium
15318,15318,23566,693,18.05,Medium
15319,15319,22805,763,14.17,Low
15320,15320,53048,726,16.33,Medium
15321,15321,4723,605,20.71,High
15322,15322,8205,624,20.9,High
15323,15323,70675,649,17.88,High
15324,15324,1952,509,25.42,VeryHigh
15325,15325,7554,618,21.66,High
15326,15326,47584,647,18.92,High
15327,15327,38170,650,16.48,High
15328,15328,5106,586,24.08,High
15329,15329,13565,634,18.45,High
15330,15330,11404,619,19.7,High
15331,15331,3438,664,19.92,High
15332,15332,96955,686,16.29,Medium
15333,15333,27311,713,15.38,Medium
15334,15334,60111,666,17.11,High
15335,15335,18832,679,18.27,Medium
15336,15336,3743,632,20.77,High
15337,15337,4913,640,21.59,High
15338,15338,3572,578,22.2,VeryHigh
15339,15339,4595,616,21.58,High
15340,15340,8871,664,21.22,High
15341,15341,14031,550,22.19,VeryHigh
15342,15342,71304,779,13.76,Low
15343,15343,7926,583,21.99,High
15344,15344,3154,555,22.37,VeryHigh
15345,15345,39280,707,15.31,Medium
15346,15346,5062,632,20.54,High
15347,15347,45952,790,15.12,Low
15348,15348,5666,700,14.4,Medium
15349,15349,16104,679,18.85,Medium
15350,15350,69340,713,16.83,Medium
15351,15351,10906,658,20.8,High
15352,15352,10337,715,19.99,Medium
15353,15353,20332,670,19.26,Medium
15354,15354,10708,614,21.15,High
15355,15355,15950,599,18.27,High
15356,15356,4519,585,22.69,High
15357,15357,2187,543,23.82,VeryHigh
15358,15358,7557,673,17.03,Medium
15359,15359,6014,607,20.86,High
15360,15360,3424,615,18.63,High
15361,15361,2212,510,25.64,VeryHigh
15362,15362,5199,556,23.91,VeryHigh
15363,15363,152910,648,18.93,High
15364,15364,12315,663,17.93,High
15365,15365,40438,703,16.6,Medium
15366,15366,7512,528,21.9,VeryHigh
15367,15367,3895,617,22.94,High
15368,15368,18902,638,20.62,High
15369,15369,25664,642,18.62,High
15370,15370,4874,607,18.34,High
15371,15371,80985,676,18.36,Medium
15372,15372,9190,609,15.95,High
15373,15373,14129,634,20.65,High
15374,15374,81861,779,13.0,Low
15375,15375,3559,612,17.3,High
15376,15376,57133,626,18.62,High
15377,15377,99414,723,16.31,Medium
15378,15378,7205,580,22.18,High
15379,15379,10596,636,20.26,High
15380,15380,22704,617,21.74,High
15381,15381,30205,627,23.45,High
15382,15382,43457,654,18.39,High
15383,15383,12378,642,21.36,High
15384,15384,1454,621,19.6,High
15385,15385,138670,655,17.58,High
15386,15386,171446,850,10.5,VeryLow
15387,15387,6570,620,21.51,High
15388,15388,3648,624,22.15,High
15389,15389,18257,753,15.47,Low
15390,15390,3721,652,17.06,High
15391,15391,2421,695,17.69,Medium
15392,15392,13718,605,21.02,High
15393,15393,5214,648,19.39,High
15394,15394,15589,687,16.49,Medium
15395,15395,9899,651,22.12,High
15396,15396,4046,684,18.84,Medium
15397,15397,9461,619,21.64,High
15398,15398,15409,632,19.44,High
15399,15399,6502,711,16.9,Medium
15400,15400,36043,672,19.75,Medium
15401,15401,20171,740,17.54,Low
15402,15402,3968,687,19.65,Medium
15403,15403,39707,725,17.8,Medium
15404,15404,3719,620,19.05,High
15405,15405,11477,644,17.66,High
15406,15406,7682,610,18.97,High
15407,15407,8124,650,19.55,High
15408,15408,25229,730,17.18,Medium
15409,15409,31012,702,17.26,Medium
15410,15410,41731,695,17.1,Medium
15411,15411,21759,567,22.56,VeryHigh
15412,15412,5424,570,21.21,VeryHigh
15413,15413,13087,615,20.8,High
15414,15414,27830,718,17.47,Medium
15415,15415,45687,735,16.91,Medium
15416,15416,9049,720,17.73,Medium
15417,15417,22006,677,18.68,Medium
15418,15418,3300,642,20.1,High
15419,15419,22205,724,17.52,Medium
15420,15420,10539,672,17.4,Medium
15421,15421,6968,738,17.11,Medium
15422,15422,2886,617,20.75,High
15423,15423,14229,663,17.58,High
15424,15424,3122,593,21.44,High
15425,15425,4995,602,25.14,High
15426,15426,7229,641,18.68,High
15427,15427,5838,610,20.59,High
15428,15428,43465,850,13.43,VeryLow
15429,15429,46418,717,16.98,Medium
15430,15430,23558,649,16.55,High
15431,15431,15743,694,15.81,Medium
15432,15432,8279,561,23.33,VeryHigh
15433,15433,9423,667,17.86,High
15434,15434,66681,644,18.03,High
15435,15435,19655,643,19.32,High
15436,15436,4425,677,17.37,Medium
15437,15437,41720,692,14.92,Medium
15438,15438,32515,685,17.31,Medium
15439,15439,6474,717,17.87,Medium
15440,15440,54235,712,17.27,Medium
15441,15441,1978,669,16.65,High
15442,15442,20222,652,19.21,High
15443,15443,14670,568,22.82,VeryHigh
15444,15444,27209,751,14.11,Low
15445,15445,5513,522,23.54,VeryHigh
15446,15446,24727,646,17.53,High
15447,15447,23761,706,19.11,Medium
15448,15448,8018,639,20.74,High
15449,15449,30752,775,17.49,Low
15450,15450,7431,641,19.03,High
15451,15451,2909,702,15.67,Medium
15452,15452,13678,614,18.83,High
15453,15453,3601,576,22.85,VeryHigh
15454,15454,22283,651,18.02,High
15455,15455,26337,596,19.59,High
15456,15456,4136,560,23.22,VeryHigh
15457,15457,21004,698,16.1,Medium
15458,15458,25539,687,16.36,Medium
15459,15459,4052,676,18.19,Medium
15460,15460,35811,706,14.86,Medium
15461,15461,44899,722,17.99,Medium
15462,15462,30243,696,18.47,Medium
15463,15463,14594,552,21.16,VeryHigh
15464,15464,10714,601,20.89,High
15465,15465,31222,650,18.03,High
15466,15466,71076,750,16.15,Low
15467,15467,69662,679,19.1,Medium
15468,15468,14613,612,21.41,High
15469,15469,5469,637,18.03,High
15470,15470,9923,613,19.77,High
15471,15471,11772,566,22.08,VeryHigh
15472,15472,11112,678,18.52,Medium
15473,15473,2721,611,20.73,High
15474,15474,10825,649,19.26,High
15475,15475,12035,664,18.0,High
15476,15476,45244,706,15.83,Medium
15477,15477,3735,562,21.34,VeryHigh
15478,15478,13101,743,15.87,Low
15479,15479,19172,696,19.67,Medium
15480,15480,2924,448,28.18,VeryHigh
15481,15481,22214,629,20.8,High
15482,15482,21080,673,14.36,Medium
15483,15483,15961,595,22.56,High
15484,15484,2482,582,23.77,High
15485,15485,4632,602,20.15,High
15486,15486,34104,735,14.75,Medium
15487,15487,11333,683,22.09,Medium
15488,15488,17794,571,21.44,VeryHigh
15489,15489,11259,602,20.44,High
15490,15490,1794,635,19.13,High
15491,15491,34786,663,16.63,High
15492,15492,4155,704,18.94,Medium
15493,15493,11446,664,18.52,High
15494,15494,19149,694,16.26,Medium
15495,15495,9683,523,25.57,VeryHigh
15496,15496,60047,682,17.8,Medium
15497,15497,10539,660,18.59,High
15498,15498,15373,704,19.8,Medium
15499,15499,20442,626,19.46,High
15500,15500,17095,613,21.52,High
15501,15501,31232,702,11.19,Medium
15502,15502,9682,694,16.89,Medium
15503,15503,32563,804,11.45,VeryLow
15504,15504,50219,765,13.99,Low
15505,15505,2727,601,20.03,High
15506,15506,11534,630,17.25,High
15507,15507,16333,699,14.42,Medium
15508,15508,38692,695,16.91,Medium
15509,15509,7916,612,17.82,High
15510,15510,52710,724,15.69,Medium
15511,15511,92873,706,18.83,Medium
15512,15512,8105,554,26.04,VeryHigh
15513,15513,12024,631,21.47,High
15514,15514,11082,708,17.98,Medium
15515,15515,6911,518,24.19,VeryHigh
15516,15516,14443,660,17.56,High
15517,15517,10256,643,19.36,High
15518,15518,6783,595,20.47,High
15519,15519,4867,609,25.1,High
15520,15520,58427,729,17.05,Medium
15521,15521,4540,683,20.5,Medium
15522,15522,31584,664,19.9,High
15523,15523,25823,679,20.94,Medium
15524,15524,55999,711,16.45,Medium
15525,15525,4697,587,21.51,High
15526,15526,22190,677,17.12,Medium
15527,15527,98444,722,17.45,Medium
15528,15528,45329,769,14.14,Low
15529,15529,1996,517,23.5,VeryHigh
15530,15530,8746,628,17.92,High
15531,15531,29991,571,22.99,VeryHigh
15532,15532,23740,807,12.67,VeryLow
15533,15533,11010,685,18.4,Medium
15534,15534,10101,513,25.53,VeryHigh
15535,15535,16949,674,19.77,Medium
15536,15536,70496,685,15.45,Medium
15537,15537,3141,621,20.66,High
15538,15538,42205,779,14.29,Low
15539,15539,20517,735,14.39,Medium
15540,15540,20864,694,17.35,Medium
15541,15541,23535,704,17.0,Medium
15542,15542,3277,607,20.96,High
15543,15543,7820,681,17.18,Medium
15544,15544,72634,700,16.5,Medium
15545,15545,37319,798,16.02,Low
15546,15546,14729,730,14.9,Medium
15547,15547,16256,744,16.4,Low
15548,15548,11238,545,22.33,VeryHigh
15549,15549,6233,614,21.62,High
15550,15550,5423,588,22.69,High
15551,15551,8027,655,19.6,High
15552,15552,16644,613,21.25,High
15553,15553,44982,600,24.19,High
15554,15554,7442,635,20.51,High
15555,15555,2395,559,21.59,VeryHigh
15556,15556,4214,642,19.03,High
15557,15557,58716,710,16.71,Medium
15558,15558,10209,683,16.7,Medium
15559,15559,60485,721,16.97,Medium
15560,15560,4766,621,19.19,High
15561,15561,27123,679,20.13,Medium
15562,15562,16546,655,18.72,High
15563,15563,26222,706,15.57,Medium
15564,15564,17231,774,14.43,Low
15565,15565,23007,602,22.91,High
15566,15566,5083,618,20.34,High
15567,15567,14578,724,16.88,Medium
15568,15568,8811,660,21.53,High
15569,15569,7180,641,22.76,High
15570,15570,2278,666,19.88,High
15571,15571,26898,577,19.78,VeryHigh
15572,15572,18432,613,17.73,High
15573,15573,2570,517,26.05,VeryHigh
15574,15574,25930,667,19.59,High
15575,15575,49212,696,16.62,Medium
15576,15576,15577,687,17.49,Medium
15577,15577,14394,697,18.72,Medium
15578,15578,39227,672,19.68,Medium
15579,15579,86821,794,14.99,Low
15580,15580,17983,686,15.94,Medium
15581,15581,7109,540,19.37,VeryHigh
15582,15582,23869,618,19.8,High
15583,15583,39500,742,16.34,Low
15584,15584,63521,738,18.08,Medium
15585,15585,11722,558,22.11,VeryHigh
15586,15586,31318,584,19.97,High
15587,15587,17010,721,14.46,Medium
15588,15588,7881,605,20.95,High
15589,15589,30001,773,14.89,Low
15590,15590,8211,633,19.04,High
15591,15591,23921,675,21.23,Medium
15592,15592,14522,708,13.99,Medium
15593,15593,13863,598,19.03,High
15594,15594,19862,684,18.84,Medium
15595,15595,2531,574,20.08,VeryHigh
15596,15596,13811,684,19.44,Medium
15597,15597,3916,626,17.63,High
15598,15598,9609,659,18.71,High
15599,15599,36403,691,15.84,Medium
15600,15600,1831,533,22.03,VeryHigh
15601,15601,2526,668,20.0,High
15602,15602,41371,717,17.41,Medium
15603,15603,63289,825,16.25,VeryLow
15604,15604,34938,727,16.2,Medium
15605,15605,47016,673,18.36,Medium
15606,15606,8949,616,17.83,High
15607,15607,6842,643,22.38,High
15608,15608,5526,622,22.34,High
15609,15609,11045,744,16.0,Low
15610,15610,3525,764,12.9,Low
15611,15611,15232,664,19.54,High
15612,15612,11219,580,22.67,High
15613,15613,39732,676,19.16,Medium
15614,15614,6787,695,18.83,Medium
15615,15615,11576,705,16.57,Medium
15616,15616,9165,749,17.43,Low
15617,15617,2994,616,20.66,High
15618,15618,11621,581,21.64,High
15619,15619,9966,605,21.16,High
15620,15620,10448,631,18.81,High
15621,15621,2377,529,21.17,VeryHigh
15622,15622,69188,705,17.11,Medium
15623,15623,24487,750,14.99,Low
15624,15624,8940,655,20.96,High
15625,15625,23055,655,19.13,High
15626,15626,3452,589,21.38,High
15627,15627,45332,754,14.5,Low
15628,15628,25844,658,19.97,High
15629,15629,27323,701,18.77,Medium
15630,15630,23713,645,17.22,High
15631,15631,3119,599,22.1,High
15632,15632,7840,496,24.15,VeryHigh
15633,15633,61414,680,17.46,Medium
15634,15634,20634,703,15.82,Medium
15635,15635,27343,743,17.52,Low
15636,15636,13509,644,20.4,High
15637,15637,13520,642,19.85,High
15638,15638,18652,633,22.25,High
15639,15639,76897,771,14.41,Low
15640,15640,12847,691,17.22,Medium
15641,15641,21901,725,14.5,Medium
15642,15642,4463,696,17.85,Medium
15643,15643,13826,616,16.05,High
15644,15644,36397,703,15.85,Medium
15645,15645,19985,590,24.62,High
15646,15646,2253,634,17.57,High
15647,15647,3270,544,23.95,VeryHigh
15648,15648,4926,637,18.68,High
15649,15649,31007,792,14.79,Low
15650,15650,7262,645,18.97,High
15651,15651,24497,604,23.35,High
15652,15652,18133,721,16.58,Medium
15653,15653,6391,633,21.5,High
15654,15654,9460,645,18.22,High
15655,15655,14582,695,15.45,Medium
15656,15656,9806,692,18.05,Medium
15657,15657,4160,654,19.38,High
15658,15658,12388,609,20.01,High
15659,15659,13841,669,19.01,High
15660,15660,30493,738,16.35,Medium
15661,15661,80859,689,18.47,Medium
15662,15662,15845,634,20.45,High
15663,15663,13391,673,20.45,Medium
15664,15664,8582,643,20.24,High
15665,15665,16511,544,22.81,VeryHigh
15666,15666,37692,705,18.72,Medium
15667,15667,3012,637,19.73,High
15668,15668,10826,800,15.13,VeryLow
15669,15669,11949,607,19.56,High
15670,15670,60668,740,17.3,Low
15671,15671,11236,653,14.76,High
15672,15672,14130,697,16.13,Medium
15673,15673,9076,723,16.29,Medium
15674,15674,28757,709,18.06,Medium
15675,15675,14225,613,21.3,High
15676,15676,18393,691,17.82,Medium
15677,15677,71551,751,14.59,Low
15678,15678,3796,649,22.26,High
15679,15679,15244,612,20.36,High
15680,15680,14248,697,18.59,Medium
15681,15681,28923,601,21.4,High
15682,15682,23660,736,17.06,Medium
15683,15683,3794,689,15.9,Medium
15684,15684,7607,532,22.45,VeryHigh
15685,15685,28871,663,17.39,High
15686,15686,3454,663,17.37,High
15687,15687,17705,707,15.97,Medium
15688,15688,19898,726,15.53,Medium
15689,15689,9082,693,18.49,Medium
15690,15690,16303,798,15.56,Low
15691,15691,19961,651,19.54,High
15692,15692,11104,649,21.01,High
15693,15693,154622,712,16.88,Medium
15694,15694,38149,692,18.01,Medium
15695,15695,5539,647,19.94,High
15696,15696,24645,779,14.62,Low
15697,15697,6935,611,18.66,High
15698,15698,22922,718,18.13,Medium
15699,15699,3181,626,21.02,High
15700,15700,25256,665,20.95,High
15701,15701,5949,676,19.35,Medium
15702,15702,28522,586,20.42,High
15703,15703,44023,738,13.12,Medium
15704,15704,46182,733,16.16,Medium
15705,15705,33079,637,18.92,High
15706,15706,24041,663,19.39,High
15707,15707,28282,564,23.15,VeryHigh
15708,15708,9360,588,21.73,High
15709,15709,3962,530,23.28,VeryHigh
15710,15710,4380,616,21.82,High
15711,15711,26507,673,18.39,Medium
15712,15712,11994,571,21.82,VeryHigh
15713,15713,59492,622,18.59,High
15714,15714,42736,708,15.79,Medium
15715,15715,17881,788,10.85,Low
15716,15716,38310,682,15.9,Medium
15717,15717,4369,640,17.67,High
15718,15718,1760,640,18.45,High
15719,15719,4501,591,22.15,High
15720,15720,5890,618,21.37,High
15721,15721,9211,681,18.65,Medium
15722,15722,18132,640,18.75,High
15723,15723,29667,574,24.51,VeryHigh
15724,15724,5959,715,17.04,Medium
15725,15725,11195,653,16.28,High
15726,15726,18292,637,22.32,High
15727,15727,25718,625,20.19,High
15728,15728,5599,684,16.85,Medium
15729,15729,14937,552,22.49,VeryHigh
15730,15730,25860,710,15.85,Medium
15731,15731,97906,696,16.72,Medium
15732,15732,16540,683,19.43,Medium
15733,15733,2350,631,16.95,High
15734,15734,36725,563,24.21,VeryHigh
15735,15735,8016,711,15.31,Medium
15736,15736,9391,654,18.71,High
15737,15737,11300,674,21.33,Medium
15738,15738,52857,756,16.69,Low
15739,15739,9557,614,21.51,High
15740,15740,7508,625,19.52,High
15741,15741,16569,670,15.78,Medium
15742,15742,18440,709,14.9,Medium
15743,15743,7980,539,22.7,VeryHigh
15744,15744,2343,625,20.5,High
15745,15745,9342,644,20.79,High
15746,15746,13387,598,21.51,High
15747,15747,25183,660,18.96,High
15748,15748,22491,690,17.59,Medium
15749,15749,26799,733,13.83,Medium
15750,15750,15663,657,16.63,High
15751,15751,26796,680,19.24,Medium
15752,15752,19314,692,18.94,Medium
15753,15753,19926,595,22.87,High
15754,15754,13918,698,15.6,Medium
15755,15755,25585,628,22.31,High
15756,15756,10458,728,18.41,Medium
15757,15757,56198,774,15.88,Low
15758,15758,11264,598,18.65,High
15759,15759,31608,681,19.29,Medium
15760,15760,99504,662,19.51,High
15761,15761,6990,666,17.45,High
15762,15762,3204,639,21.68,High
15763,15763,7172,630,20.9,High
15764,15764,26243,635,21.46,High
15765,15765,63227,763,15.52,Low
15766,15766,5168,501,26.65,VeryHigh
15767,15767,28772,738,16.62,Medium
15768,15768,2593,689,18.36,Medium
15769,15769,3012,608,17.56,High
15770,15770,12776,664,18.61,High
15771,15771,19982,597,20.74,High
15772,15772,15987,607,19.07,High
15773,15773,35382,760,12.77,Low
15774,15774,9327,702,16.7,Medium
15775,15775,34688,753,13.72,Low
15776,15776,3059,634,17.76,High
15777,15777,6875,623,21.6,High
15778,15778,3519,493,24.23,VeryHigh
15779,15779,36767,596,17.39,High
15780,15780,32725,646,17.01,High
15781,15781,27888,636,20.75,High
15782,15782,20067,628,20.49,High
15783,15783,15576,590,23.13,High
15784,15784,19426,766,14.54,Low
15785,15785,2924,565,20.28,VeryHigh
15786,15786,69132,726,15.05,Medium
15787,15787,5539,695,20.27,Medium
15788,15788,3705,531,24.91,VeryHigh
15789,15789,38744,699,19.44,Medium
15790,15790,18583,616,21.35,High
15791,15791,2882,661,19.55,High
15792,15792,12566,660,17.03,High
15793,15793,7730,608,18.58,High
15794,15794,4018,603,21.41,High
15795,15795,8018,593,20.34,High
15796,15796,11288,723,16.59,Medium
15797,15797,9362,703,19.37,Medium
15798,15798,13920,582,22.01,High
15799,15799,27550,688,16.13,Medium
15800,15800,31067,649,18.0,High
15801,15801,9211,661,19.04,High
15802,15802,13124,700,16.99,Medium
15803,15803,123458,740,18.61,Low
15804,15804,28671,626,20.93,High
15805,15805,7446,608,19.03,High
15806,15806,9839,618,19.16,High
15807,15807,30799,688,17.67,Medium
15808,15808,16444,696,17.09,Medium
15809,15809,2156,613,18.84,High
15810,15810,23892,656,16.71,High
15811,15811,16010,511,28.62,VeryHigh
15812,15812,3253,514,22.11,VeryHigh
15813,15813,3643,621,21.7,High
15814,15814,4403,680,19.76,Medium
15815,15815,13852,647,18.16,High
15816,15816,9383,710,17.43,Medium
15817,15817,12890,590,21.51,High
15818,15818,5336,658,17.36,High
15819,15819,3329,731,14.35,Medium
15820,15820,42724,708,16.9,Medium
15821,15821,7507,662,19.88,High
15822,15822,2918,571,22.77,VeryHigh
15823,15823,4904,663,19.49,High
15824,15824,6881,633,17.98,High
15825,15825,22251,597,21.61,High
15826,15826,13024,653,16.44,High
15827,15827,19960,733,16.1,Medium
15828,15828,6682,674,18.15,Medium
15829,15829,20658,667,19.64,High
15830,15830,10356,669,19.9,High
15831,15831,25954,673,19.27,Medium
15832,15832,23001,698,16.19,Medium
15833,15833,6418,637,22.44,High
15834,15834,11730,668,21.07,High
15835,15835,72770,709,15.9,Medium
15836,15836,11026,761,15.69,Low
15837,15837,20113,651,19.72,High
15838,15838,20635,610,22.36,High
15839,15839,26429,703,19.68,Medium
15840,15840,11966,662,19.55,High
15841,15841,7418,521,23.0,VeryHigh
15842,15842,10554,631,18.64,High
15843,15843,20246,748,15.71,Low
15844,15844,37312,776,14.82,Low
15845,15845,20676,674,19.58,Medium
15846,15846,6592,632,19.86,High
15847,15847,10750,562,21.61,VeryHigh
15848,15848,6202,552,24.31,VeryHigh
15849,15849,19311,744,16.66,Low
15850,15850,145783,796,15.9,Low
15851,15851,13789,646,21.16,High
15852,15852,7177,699,17.09,Medium
15853,15853,12775,606,22.75,High
15854,15854,13893,702,17.05,Medium
15855,15855,33399,613,19.7,High
15856,15856,23046,636,19.8,High
15857,15857,8753,741,14.78,Low
15858,15858,11326,606,19.22,High
15859,15859,3277,606,21.1,High
15860,15860,12942,547,23.63,VeryHigh
15861,15861,3561,566,22.29,VeryHigh
15862,15862,3762,543,20.89,VeryHigh
15863,15863,6407,618,20.38,High
15864,15864,35429,688,18.29,Medium
15865,15865,39070,696,15.62,Medium
15866,15866,34472,717,17.58,Medium
15867,15867,31323,740,17.07,Low
15868,15868,24965,640,16.79,High
15869,15869,3402,671,17.62,Medium
15870,15870,38619,687,17.26,Medium
15871,15871,3657,566,22.96,VeryHigh
15872,15872,7324,499,26.43,VeryHigh
15873,15873,8926,594,18.8,High
15874,15874,18597,722,16.23,Medium
15875,15875,2925,592,21.04,High
15876,15876,34921,672,19.4,Medium
15877,15877,4837,625,20.74,High
15878,15878,4926,663,18.23,High
15879,15879,13612,762,14.0,Low
15880,15880,7889,664,18.38,High
15881,15881,12645,703,14.76,Medium
15882,15882,13566,760,17.36,Low
15883,15883,15907,660,20.18,High
15884,15884,18157,764,16.47,Low
15885,15885,4854,641,18.64,High
15886,15886,13474,652,17.23,High
15887,15887,3773,621,20.38,High
15888,15888,45062,700,19.97,Medium
15889,15889,10613,684,20.57,Medium
15890,15890,27630,641,21.19,High
15891,15891,4819,556,22.74,VeryHigh
15892,15892,25708,639,17.89,High
15893,15893,25395,625,19.62,High
15894,15894,9148,629,17.56,High
15895,15895,3146,608,19.03,High
15896,15896,37564,760,18.26,Low
15897,15897,4317,690,18.69,Medium
15898,15898,38677,673,19.39,Medium
15899,15899,56165,685,19.25,Medium
15900,15900,10766,550,21.48,VeryHigh
15901,15901,26323,614,19.39,High
15902,15902,2438,649,18.71,High
15903,15903,2886,616,18.31,High
15904,15904,3693,595,20.47,High
15905,15905,5225,675,16.1,Medium
15906,15906,8284,594,21.2,High
15907,15907,11605,698,15.42,Medium
15908,15908,28688,646,19.77,High
15909,15909,62641,664,17.82,High
15910,15910,42604,695,17.59,Medium
15911,15911,2411,605,21.49,High
15912,15912,2225,456,26.1,VeryHigh
15913,15913,24166,621,17.96,High
15914,15914,17433,643,20.34,High
15915,15915,12031,567,22.37,VeryHigh
15916,15916,23035,690,20.63,Medium
15917,15917,17985,708,16.22,Medium
15918,15918,4196,615,20.4,High
15919,15919,2697,544,25.64,VeryHigh
15920,15920,2936,574,20.48,VeryHigh
15921,15921,9713,557,23.96,VeryHigh
15922,15922,3852,546,22.92,VeryHigh
15923,15923,9360,651,20.93,High
15924,15924,3635,505,25.98,VeryHigh
15925,15925,7989,700,15.35,Medium
15926,15926,5844,557,21.16,VeryHigh
15927,15927,34426,570,23.34,VeryHigh
15928,15928,42506,815,10.6,VeryLow
15929,15929,7730,567,24.27,VeryHigh
15930,15930,4299,608,18.37,High
15931,15931,10565,657,18.12,High
15932,15932,49665,684,19.71,Medium
15933,15933,11171,696,14.34,Medium
15934,15934,11608,635,20.15,High
15935,15935,13362,512,24.61,VeryHigh
15936,15936,17745,746,13.29,Low
15937,15937,8963,557,26.28,VeryHigh
15938,15938,58879,543,22.93,VeryHigh
15939,15939,12677,608,18.12,High
15940,15940,10619,629,19.07,High
15941,15941,32434,662,18.65,High
15942,15942,7200,621,22.48,High
15943,15943,2753,568,20.98,VeryHigh
15944,15944,92711,746,12.51,Low
15945,15945,1730,560,24.6,VeryHigh
15946,15946,22412,645,20.91,High
15947,15947,49537,684,17.06,Medium
15948,15948,25997,638,18.53,High
15949,15949,19028,629,19.35,High
15950,15950,9959,534,24.83,VeryHigh
15951,15951,16278,661,19.74,High
15952,15952,11518,599,22.03,High
15953,15953,36085,700,19.24,Medium
15954,15954,5565,608,22.95,High
15955,15955,28293,727,15.9,Medium
15956,15956,5162,672,21.35,Medium
15957,15957,68967,765,12.95,Low
15958,15958,42730,655,18.56,High
15959,15959,12751,727,14.68,Medium
15960,15960,11168,663,17.56,High
15961,15961,49564,715,14.85,Medium
15962,15962,7820,726,16.43,Medium
15963,15963,18857,666,18.83,High
15964,15964,12846,527,20.86,VeryHigh
15965,15965,3625,754,15.09,Low
15966,15966,6774,542,23.68,VeryHigh
15967,15967,6526,679,17.47,Medium
15968,15968,22446,733,12.89,Medium
15969,15969,18702,668,19.32,High
15970,15970,73408,744,15.0,Low
15971,15971,5396,686,17.97,Medium
15972,15972,8245,704,15.71,Medium
15973,15973,44280,676,18.25,Medium
15974,15974,7712,729,16.23,Medium
15975,15975,6615,632,20.72,High
15976,15976,8556,699,14.46,Medium
15977,15977,2569,544,21.54,VeryHigh
15978,15978,7358,613,20.01,High
15979,15979,3829,613,19.56,High
15980,15980,1576,641,18.47,High
15981,15981,25851,659,21.29,High
15982,15982,15493,638,15.83,High
15983,15983,35223,726,18.73,Medium
15984,15984,42174,722,16.65,Medium
15985,15985,25814,680,18.78,Medium
15986,15986,6285,634,18.59,High
15987,15987,16923,626,22.06,High
15988,15988,3884,606,19.64,High
15989,15989,13290,658,17.88,High
15990,15990,22888,690,18.33,Medium
15991,15991,9409,645,19.51,High
15992,15992,9888,616,24.48,High
15993,15993,4502,513,24.59,VeryHigh
15994,15994,8261,649,18.6,High
15995,15995,6936,582,21.42,High
15996,15996,2270,535,23.03,VeryHigh
15997,15997,11443,687,18.38,Medium
15998,15998,15705,613,20.2,High
15999,15999,11436,580,23.31,High
16000,16000,5240,597,23.05,High
16001,16001,13014,596,22.45,High
16002,16002,11805,646,20.37,High
16003,16003,8668,735,15.35,Medium
16004,16004,20885,700,17.06,Medium
16005,16005,120635,669,15.08,High
16006,16006,30510,740,15.52,Low
16007,16007,9812,590,20.1,High
16008,16008,18201,694,15.92,Medium
16009,16009,15346,654,19.6,High
16010,16010,15699,721,16.3,Medium
16011,16011,16837,709,18.71,Medium
16012,16012,13111,635,21.65,High
16013,16013,6437,617,20.19,High
16014,16014,17959,646,19.06,High
16015,16015,10195,668,18.33,High
16016,16016,8692,602,21.03,High
16017,16017,10857,678,18.54,Medium
16018,16018,21025,616,20.69,High
16019,16019,51357,633,21.16,High
16020,16020,16774,684,19.04,Medium
16021,16021,22756,622,21.46,High
16022,16022,6854,664,21.26,High
16023,16023,66227,752,13.77,Low
16024,16024,26228,657,18.71,High
16025,16025,11226,697,18.9,Medium
16026,16026,9052,629,21.94,High
16027,16027,49846,728,12.46,Medium
16028,16028,5026,623,18.61,High
16029,16029,3681,623,19.57,High
16030,16030,31284,620,18.78,High
16031,16031,32999,725,16.54,Medium
16032,16032,3253,577,23.37,VeryHigh
16033,16033,34481,661,20.06,High
16034,16034,23272,723,15.75,Medium
16035,16035,7743,675,20.02,Medium
16036,16036,12213,600,19.53,High
16037,16037,27341,695,17.23,Medium
16038,16038,45725,792,13.47,Low
16039,16039,9855,744,16.68,Low
16040,16040,5966,533,22.72,VeryHigh
16041,16041,28166,605,23.2,High
16042,16042,4243,561,22.94,VeryHigh
